source,target,type
Desire_3.042898279713684e+18_Shop,Internsion_1.2433591485800462e+19,go_to
Desire_1.586876555727136e+19_School,Internsion_6.685906956690902e+18,go_to
Desire_1.1576579517790798e+19_School,Internsion_1.3046133073296374e+17,go_to
Desire_8.406536686754593e+18_Shop,Internsion_6.528561425279394e+18,go_to
Desire_1.1156174530945843e+19_Recreation,Internsion_1.6944463844123073e+19,go_to
Desire_3.788140392910308e+18_Eat,Internsion_6.626936932149313e+17,go_to
Desire_9.57884249095133e+17_Eat,Internsion_1.5964844478633603e+19,go_to
Desire_1.6399479785059631e+19_Eat,Internsion_8.730201355907265e+18,go_to
Desire_1.9332840807747663e+18_Eat,Internsion_4.501044786361879e+18,go_to
Desire_3.5367466730231634e+18_Eat,Internsion_1.509956007895325e+19,go_to
Desire_1.1264717060570833e+19_Shop,Internsion_3.385451074921647e+18,go_to
Desire_1.0764315543703308e+19_Recreation,Internsion_1.5460260694746755e+19,go_to
Desire_9.51623562795022e+18_Shop,Internsion_3.4498832208695465e+18,go_to
Desire_1.613628521833393e+18_Errands,Internsion_9.941169804696392e+18,go_to
Desire_2.448535250358194e+17_Recreation,Internsion_1.9987912302522552e+18,go_to
Desire_1.5013334280448176e+19_Shop,Internsion_8.924662500575321e+18,go_to
Desire_1.5097421240128915e+19_Errands,Internsion_1.6976381372911313e+19,go_to
Desire_1.6758875072511873e+19_Eat,Internsion_1.4348653689866527e+18,go_to
Desire_1.3015029163221018e+18_Shop,Internsion_1.1837010175183751e+19,go_to
Desire_5.135436199063312e+18_Recreation,Internsion_1.7219836787972344e+19,go_to
Desire_1.6696286622168232e+19_Shop,Internsion_1.1217713209666951e+19,go_to
Desire_8.087995398757763e+17_Recreation,Internsion_1.0646128325754372e+19,go_to
Desire_1.2019450705076388e+19_Shop,Internsion_5.253960784223099e+18,go_to
Desire_5.753821105578652e+18_Errands,Internsion_3.897541056101154e+18,go_to
Desire_6.976086373915017e+18_Eat,Internsion_1.092016857481964e+19,go_to
Desire_1.0152857555130687e+19_Shop,Internsion_5.292919268568623e+18,go_to
Desire_1.2244273262536088e+19_Eat,Internsion_1.434818361679705e+19,go_to
Desire_9.550515739709802e+18_Recreation,Internsion_2.220641479267236e+18,go_to
Desire_2.3419822548414064e+16_Eat,Internsion_1.6288949837444995e+19,go_to
Desire_1.2120890043478491e+19_Eat,Internsion_7.657553002533598e+18,go_to
Desire_1.5824490855283251e+19_Recreation,Internsion_1.562593126627967e+19,go_to
