source,target,type
Desire_1.1563800835176587e+19_Eat,Internsion_1.025938143343315e+19,go_to
Desire_8.563214790286262e+18_Eat,Internsion_1.31903191242064e+18,go_to
Desire_1.410556247153235e+19_Eat,Internsion_2.335356997107879e+18,go_to
Desire_6.908642153813615e+18_Eat,Internsion_1.7129519760729815e+19,go_to
Desire_5.109323705797475e+18_Eat,Internsion_4.024011999924464e+18,go_to
Desire_1.7871660849403302e+19_Eat,Internsion_1.798291531784269e+19,go_to
Desire_1.318586915890715e+19_Eat,Internsion_1.6223966272128553e+19,go_to
Desire_4.417267054135099e+18_Eat,Internsion_1.0057909579961242e+19,go_to
Desire_2.3807342863392045e+17_Eat,Internsion_1.4617825270337057e+19,go_to
Desire_8.141223190771339e+16_Eat,Internsion_1.3101415669440197e+19,go_to
Desire_5.37683722103411e+18_Eat,Internsion_1.6214297692698343e+19,go_to
Desire_2.649691170781562e+18_Eat,Internsion_2.3538795216003584e+18,go_to
Desire_7.335277656098461e+18_Eat,Internsion_7.690322539052258e+18,go_to
Desire_4.145686520066749e+18_Eat,Internsion_3.613024655185735e+18,go_to
Desire_7.637704439245793e+17_Eat,Internsion_1.5978830008261974e+19,go_to
Desire_1.5103389111598223e+19_Eat,Internsion_7.327370101240624e+18,go_to
Desire_1.655812198419673e+19_Eat,Internsion_1.0100018110665084e+18,go_to
Desire_3.004297327790549e+18_Eat,Internsion_6.93714513072826e+18,go_to
Desire_2.860061490714453e+18_Eat,Internsion_1.6720143452589036e+18,go_to
Desire_9.878354198247422e+18_Eat,Internsion_1.3964391522888722e+19,go_to
Desire_8.818717214375319e+18_Eat,Internsion_1.703804361492133e+19,go_to
Desire_1.119216604246008e+19_Eat,Internsion_1.747619085348188e+19,go_to
Desire_1.0819809593570198e+19_Eat,Internsion_1.003658331186897e+18,go_to
Desire_8.343060365983444e+18_Eat,Internsion_1.0376121361792758e+19,go_to
Desire_2.5954766254297943e+18_Eat,Internsion_1.1489565196670863e+19,go_to
Desire_1.003518118082739e+19_Eat,Internsion_6.202268902795337e+18,go_to
Desire_1.4612949027900756e+19_Eat,Internsion_1.4733482967427752e+19,go_to
Desire_1.4135146416864113e+19_Eat,Internsion_1.583692655988394e+19,go_to
Desire_1.0362697716261771e+19_Eat,Internsion_1.7102806440995793e+19,go_to
Desire_7.028593803255549e+18_Eat,Internsion_1.4032902479480474e+18,go_to
Desire_1.4520532473396908e+19_Eat,Internsion_1.0294482902006696e+19,go_to
Desire_1.1557086312769458e+19_Eat,Internsion_7.126013631366736e+18,go_to
Desire_8.950777342993586e+18_Eat,Internsion_1.2481568530525696e+19,go_to
Desire_8.898380673366748e+18_Eat,Internsion_1.193814093637913e+19,go_to
Desire_8.989466393510802e+18_Eat,Internsion_1.2987512422979109e+19,go_to
Desire_1.5628338731341734e+18_Eat,Internsion_8.689943833695275e+18,go_to
